d a r R i I h H t T P p
4.0253517e+00 1.7917595e+00 4.0253517e+00 1.7917595e+00 4.0253517e+00 1.7917595e+00 4.0253517e+00 1.7917595e+00 4.0253517e+00 1.7917595e+00 6.9078000e+00 6.9078000e+00
3.9702919e+00 4.5538769e+00 3.9702919e+00 4.5538769e+00 3.9702919e+00 4.5538769e+00 3.9702919e+00 4.5538769e+00 3.9702919e+00 4.5538769e+00 0.0000000e+00 0.0000000e+00
4.0430513e+00 4.5951199e+00 4.0430513e+00 4.5951199e+00 4.0430513e+00 4.5951199e+00 4.0430513e+00 4.5951199e+00 4.0430513e+00 4.5951199e+00 6.9078000e+00 6.9078000e+00
3.9889840e+00 4.3438054e+00 3.9889840e+00 4.3438054e+00 3.9889840e+00 4.3438054e+00 3.9889840e+00 4.3438054e+00 3.9889840e+00 4.3438054e+00 0.0000000e+00 0.0000000e+00
4.0604430e+00 4.3944492e+00 4.0604430e+00 4.3944492e+00 4.0604430e+00 4.3944492e+00 4.0604430e+00 4.3944492e+00 4.0604430e+00 4.3944492e+00 6.9078000e+00 6.9078000e+00
4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 4.1271344e+00 0.0000000e+00 0.0000000e+00
4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 4.1896547e+00 6.9078000e+00 6.9078000e+00
4.1588831e+00 4.7184989e+00 4.1588831e+00 4.7184989e+00 4.1588831e+00 4.7184989e+00 4.1588831e+00 4.7184989e+00 4.1588831e+00 4.7184989e+00 0.0000000e+00 0.0000000e+00
4.2195077e+00 4.7535902e+00 4.2195077e+00 4.7535902e+00 4.2195077e+00 4.7535902e+00 4.2195077e+00 4.7535902e+00 4.2195077e+00 4.7535902e+00 6.9078000e+00 6.9078000e+00
4.1743873e+00 3.8066625e+00 4.1743873e+00 3.8066625e+00 4.1743873e+00 3.8066625e+00 4.1743873e+00 3.8066625e+00 4.1743873e+00 3.8066625e+00 0.0000000e+00 0.0000000e+00
4.2341065e+00 3.8918203e+00 4.2341065e+00 3.8918203e+00 4.2341065e+00 3.8918203e+00 4.2341065e+00 3.8918203e+00 4.2341065e+00 3.8918203e+00 6.9078000e+00 6.9078000e+00
4.1743873e+00 5.0814044e+00 4.1743873e+00 5.0814044e+00 4.1743873e+00 5.0814044e+00 4.1743873e+00 5.0814044e+00 4.1743873e+00 5.0814044e+00 0.0000000e+00 0.0000000e+00
4.2341065e+00 5.1059455e+00 4.2341065e+00 5.1059455e+00 4.2341065e+00 5.1059455e+00 4.2341065e+00 5.1059455e+00 4.2341065e+00 5.1059455e+00 6.9078000e+00 6.9078000e+00
4.1896547e+00 2.3978953e+00 4.1896547e+00 2.3978953e+00 4.1896547e+00 2.3978953e+00 4.1896547e+00 2.3978953e+00 4.1896547e+00 2.3978953e+00 0.0000000e+00 0.0000000e+00
4.2484952e+00 2.7080502e+00 4.2484952e+00 2.7080502e+00 4.2484952e+00 2.7080502e+00 4.2484952e+00 2.7080502e+00 4.2484952e+00 2.7080502e+00 6.9078000e+00 6.9078000e+00
4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 4.2341065e+00 0.0000000e+00 0.0000000e+00
4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 4.2904594e+00 6.9078000e+00 6.9078000e+00
